Record ID,NHTSA Campaign,Manufacturer Campaign,Vehicle Make,Vehicle Model,Model Year,Vehicle Manufacturer,Recall Type,Recall Component,Manufacture Start Date,Manufacture End Date,Estimated Units,Recall Initiative,Recall Manufacturer,Recall Notification Date
1,02V288000,02S41,FORD,FOCUS,2001,FORD MOTOR COMPANY,VEHICLE,ELECTRICAL SYSTEM:BATTERY:CABLES,19990719,20010531,291854,ODI,FORD MOTOR COMPANY,20030210
2,02V288000,02S41,FORD,FOCUS,2000,FORD MOTOR COMPANY,VEHICLE,ELECTRICAL SYSTEM:BATTERY:CABLES,19990719,20010531,291854,ODI,FORD MOTOR COMPANY,20030210
3,02V236000,,JAYCO,FT EAGLE 10 SG,2003,"JAYCO, INC.",VEHICLE,EQUIPMENT:OTHER:LABELS,20020730,20020813,86,MFR,"JAYCO, INC.",20020923
4,02V237000,,HOLIDAY RAMBLER,ADMIRAL SE,2003,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
5,02V237000,,HOLIDAY RAMBLER,ADMIRAL SE,2002,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
6,02V237000,,HOLIDAY RAMBLER,ADMIRAL,1999,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
7,02V237000,,MONACO COACH,MONARCH SE,2003,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
8,02V237000,,MONACO COACH,MONARCH SE,2002,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
9,02V237000,,MONACO COACH,LAPALMA,1999,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
10,02V237000,,MONACO COACH,LAPALMA,2003,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
11,02V237000,,HOLIDAY RAMBLER,VACATIONER,2003,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
12,02V237000,,HOLIDAY RAMBLER,ADMIRAL,2000,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
13,02V237000,,MONACO COACH,LAPALMA,2002,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
14,02V237000,,MONACO COACH,LAPALMA,2001,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
15,02V237000,,MONACO COACH,MONARCH,2002,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
16,02V237000,,MONACO COACH,MONARCH,2001,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
17,02V237000,,MONACO COACH,MONARCH,2000,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
18,02V237000,,HOLIDAY RAMBLER,ADMIRAL,2002,MONACO COACH CORP.,VEHICLE,STRUCTURE,,,6223,MFR,MONACO COACH CORPORATION,20021105
